#iRID	sRewardData
600333	(7,100056,1,200054)
600334	(1,0,10,200011)*(1,1,10,200012)*(21,0,1000090,0)
600335	(1,0,1,200011)*(1,1,1,200012)*(21,0,1000090,0)
600336	(1,0,1,200011)*(1,1,1,200012)*(21,0,2022003,0)
600337	(6,100134,5,200005)
600338	(1,3,50,200014)
700001	(20,100001001,0,0)
700002	(20,100006001,0,0)
700003	(21,0,7800003,0)*(1,0,1,200011)
700004	(21,0,7800004,0)
700005	(21,0,7800007,0)*(1,0,1,200011)
700006	(21,0,7800008,0)
700007	(21,0,9100005,0)*(1,0,1,200011)
700008	(21,0,7800032,0)
700009	(21,0,7800041,0)*(1,0,1,200011)
700010	(35,99,0,0)
700011	(20,20001028,0,0)
700012	(20,20001031,0,0)*(1,0,1,200011)
700013	(21,0,7900003,0)*(1,0,1,200011)
700014	(21,0,7900004,0)
700015	(21,0,7900008,0)*(1,0,1,200011)
700016	(21,0,7900009,0)
700017	(21,0,2063004,0)*(1,0,1,200011)
700018	(21,0,2063004,0)
700019	(21,0,7900017,0)*(1,0,1,200011)
700020	(21,0,7900018,0)
700021	(21,0,7900022,0)*(1,0,1,200011)
700022	(21,0,7900023,0)
700023	(21,0,7900028,0)*(1,0,1,200011)
700024	(21,0,7900029,0)
700025	(21,0,9009771,0)*(1,0,1,200011)
700026	(21,0,9009721,0)
700027	(20,22080008,0,0)
700028	(21,0,7900061,0)
700029	(21,0,7900073,0)
700030	(21,0,7900074,0)
700031	(21,0,7900078,0)
700032	(21,0,7900079,0)
700033	(21,0,7900113,0)
700034	(21,0,7900115,0)
700035	(21,0,7900129,0)
700036	(21,0,7900132,0)
700037	(21,0,7900131,0)
700038	(21,0,7900132,0)
791001	(21,0,7910004,0)
791002	(21,0,7910014,0)
791003	(21,0,7910007,0)*(1,0,1,200011)
791004	(21,0,7910012,0)
791005	(21,0,7910017,0)*(1,0,1,200011)
791006	(21,0,7910020,0)
791007	(21,0,7910023,0)*(1,0,1,200011)
791008	(21,0,7910020,0)
791009	(21,0,7910036,0)*(1,0,1,200011)
791010	(21,0,7910037,0)
791011	(21,0,7910040,0)*(1,0,1,200011)
791012	(21,0,7910041,0)
791013	(21,0,7910047,0)*(1,0,1,200011)
791014	(21,0,7910047,0)
791015	(21,0,9101059,0)*(1,0,1,200011)
791016	(21,0,9101060,0)
791017	(21,0,7910078,0)*(1,0,1,200011)
791018	(21,0,7910078,0)
791019	(21,0,7910079,0)*(1,0,1,200011)
791020	(21,0,7910079,0)
791021	(21,0,7910101,0)*(1,0,1,200011)
791022	(21,0,7910101,0)
791023	(21,0,7910102,0)*(1,0,1,200011)
791024	(21,0,7910102,0)
791025	(21,0,7920005,0)*(1,0,1,200011)
791026	(21,0,7920006,0)
791027	(21,0,7920017,0)*(1,0,1,200011)
791028	(21,0,7920019,0)
791029	(21,0,7920029,0)*(1,0,1,200011)
791030	(21,0,7920035,0)
791031	(21,0,7920029,0)*(1,0,1,200011)
791032	(21,0,7920035,0)
791033	(21,0,7920117,0)
791034	(21,0,7920121,0)*(1,0,1,200011)
791035	(21,0,7920126,0)*(1,0,1,200011)
791036	(21,0,7920127,0)*(1,0,1,200011)
791037	(21,0,7920139,0)*(1,0,1,200011)
791038	(21,0,7920140,0)
800001	(20,20800003,0,0)
800002	(20,20800004,0,0)
800003	(20,20800005,0,0)
800004	(20,25100103,0,0)
800005	(20,270001002,0,0)
800006	(20,270001003,0,0)
800007	(20,28001005,0,0)
800008	(20,28001006,0,0)
800009	(20,23000005,0,0)
800010	(20,23000006,0,0)
800011	(20,20800007,0,0)
800012	(20,20800008,0,0)
800013	(20,28001009,0,0)
800014	(20,28001010,0,0)
800015	(20,23000009,0,0)
800016	(20,21930002,0,0)
800017	(20,21930002,0,0)
800018	(35,4,0,0)
800019	(35,5,0,0)
800020	(35,7,0,0)
800021	(18,51001,0,200091)
800022	(18,51002,0,200091)
800023	(18,51003,0,200091)
800024	(18,51004,0,200091)
800025	(18,51005,0,200091)
800026	(18,51006,0,200091)
800027	(18,51007,0,200091)
800028	(18,51008,0,200091)
800029	(18,51009,0,200091)
800030	(18,51010,0,200091)
800031	(18,51011,0,200091)
800032	(18,51012,0,200091)
800033	(18,51013,0,200091)
860001	(20,29910002,0,0)
860002	(31,0,40,0)
860003	(1,3,10,200014)
860004	(7,100304,-1,200070)
860005	(20,23100017,0,0)
860006	(7,300011,1,200054)
860007	(6,100036,20,200005)*(6,100009,10,200005)*(6,100037,-20,200005)
860008	(38,5,0,911138)*(38,6,0,911139)*(31,0,155,0)
860009	(1,5,100,200097)*(5,6,5,200086)
860010	(1,6,200,200098)*(5,6,5,200086)
860011	(1,5,100,200097)*(1,6,200,200098)*(5,6,5,200086)
860012	(7,100373,1,200054)
860013	(1,5,-50,911147)*(1,6,-50,911140)
860014	(20,23100009,0,0)
860015	(7,920022,1,200054)
860016	(7,100373,-1,200070)
860701	(20,20710005,0,0)
860702	(20,20710006,0,0)
860703	(7,100010,1,200054)*(7,300001,1,200054)
860704	(1,5,-200,200102)*(1,6,-100,200102)
860705	(38,5,0,911138)*(38,6,0,911139)*(31,0,155,0)
860007	(6,100036,20,200005)*(6,100009,10,200005)*(6,100037,-20,200005)
860008	(38,5,0,911138)*(38,6,0,911139)*(31,0,155,0)
900001	(1,0,5,200011)
900002	(20,20001014,0,0)
900003	(21,0,8000014,0)*(1,0,1,200011)
900004	(21,0,8000025,0)
900005	(21,0,8018003,0)*(1,0,4,200011)*(1,3,4,200014)*(7,300015,2,200054)
900006	(21,0,8018004,0)*(1,0,1,200011)
900007	(21,0,8054005,0)*(1,0,1,200011)
900008	(21,0,8054006,0)
900009	(21,0,8054035,0)*(1,0,1,200011)
900010	(21,0,8054034,0)
900011	(21,0,8012004,0)*(1,0,1,200011)
900012	(21,0,8012005,0)
900013	(21,0,8051024,0)*(1,0,1,200011)
900014	(21,0,8051026,0)
900015	(21,0,8051034,0)*(1,0,1,200011)
900016	(21,0,8051036,0)
900017	(21,0,8021005,0)*(1,0,1,200011)
900018	(21,0,8021006,0)
900019	(21,0,8012013,0)*(1,0,1,200011)
900020	(21,0,8012014,0)
900021	(21,0,8012023,0)*(1,0,1,200011)
900022	(21,0,8012024,0)
900023	(21,0,8001004,0)*(1,0,2,200011)*(1,3,2,200014)*(7,100007,2,200054)
900024	(21,0,8001005,0)
900025	(21,0,8017005,0)*(1,0,1,200011)
900026	(21,0,8017006,0)
900027	(21,0,8017015,0)*(1,0,1,200011)
900028	(21,0,8017016,0)
900029	(21,0,8017055,0)*(1,0,1,200011)
900030	(21,0,8017056,0)
900031	(21,0,8017063,0)*(1,0,1,200011)
900032	(21,0,8017064,0)
900101	(21,0,8200032,0)
900102	(21,0,8200033,0)
900103	(21,0,8054005,0)
900104	(21,0,8054006,0)
910001	(21,0,9001005,0)*(1,0,5,200011)*(1,3,1,200014)*(7,300007,1,200054)
910002	(21,0,9001004,0)*(1,0,2,200011)
910003	(21,0,9003007,0)*(1,0,5,200011)*(1,3,3,200014)
910004	(21,0,9003008,0)
910005	(21,0,9003009,0)*(1,0,5,200011)*(1,3,3,200014)*(14,0,2000,200067)
910006	(21,0,9003010,0)
910007	(21,0,9007005,0)*(1,0,5,200011)
910008	(21,0,9007006,0)
910009	(21,0,9008303,0)*(1,0,5,200011)*(24,0,4000,200022)
910010	(21,0,9008303,0)*(1,0,1,200011)*(24,0,2000,200022)
910011	(21,0,9009018,0)*(1,0,5,200011)
910012	(21,0,9009018,0)
910013	(21,0,9009021,0)*(1,0,5,200011)
910014	(21,0,9009021,0)
910015	(21,0,9008506,0)*(1,0,5,200011)
910016	(21,0,9008507,0)
910017	(21,0,9009105,0)*(1,0,8,200011)
910018	(21,0,9009106,0)*(1,0,4,200011)
910019	(21,0,3084003,0)*(1,0,5,200011)
910020	(21,0,3084003,0)
910021	(21,0,9007104,0)*(1,0,5,200011)
910022	(21,0,9007105,0)*(1,0,1,200011)
910023	(21,0,1010003,0)*(1,0,10,200011)*(1,1,10,200012)
910024	(21,0,1010004,0)*(1,0,5,200011)*(1,1,5,200012)
910025	(21,0,1010103,0)*(1,0,20,200011)*(1,1,20,200012)
910026	(21,0,1010104,0)*(1,0,10,200011)*(1,1,10,200012)
910027	(21,0,1010203,0)*(1,0,30,200011)*(1,1,30,200012)
910028	(21,0,1010204,0)*(1,0,15,200011)*(1,1,15,200012)
910029	(21,0,1010303,0)*(1,0,5,200011)
910030	(21,0,1010304,0)*(1,0,1,200011)
910031	(21,0,1010308,0)*(1,0,5,200011)
910032	(21,0,1010309,0)*(1,0,2,200011)
910033	(21,0,1010316,0)*(1,0,6,200011)
910034	(21,0,1010317,0)*(1,0,3,200011)
910035	(21,0,1010405,0)*(1,0,5,200011)
910036	(21,0,1010406,0)*(1,0,1,200011)
910037	(21,0,1010409,0)*(1,0,5,200011)
910038	(21,0,1010410,0)*(1,0,2,200011)
910039	(21,0,1010413,0)*(1,0,6,200011)
910040	(21,0,1010415,0)*(1,0,3,200011)
910041	(21,0,8051109,0)*(1,0,5,200011)
910042	(21,0,8051109,0)
910043	(21,0,3121004,0)*(1,0,5,200011)
910044	(21,0,3121005,0)
910045	(21,0,9009207,0)*(1,0,5,200011)*(1,3,3,200014)*(7,600115,1,200054)
910046	(21,0,9009208,0)*(1,0,1,200011)
910047	(21,0,9009308,0)*(1,0,5,200011)
910048	(21,0,9009308,0)
910049	(21,0,9009318,0)*(1,0,5,200011)
910050	(21,0,9009319,0)
910051	(21,0,9009405,0)*(1,0,5,200011)*(1,3,3,200014)*(1,2,1,200013)
910052	(21,0,9009406,0)*(1,0,1,200011)*(1,2,3,200013)
910053	(21,0,9009037,0)*(1,0,5,200011)
910054	(21,0,9009038,0)
910055	(21,0,9009505,0)*(1,0,5,200011)*(7,300014,1,200054)
910056	(21,0,9009505,0)*(1,0,1,200011)
910057	(21,0,8054084,0)*(1,0,5,200011)*(1,3,1,200014)*(7,600113,1,200054)
910058	(21,0,8054085,0)*(1,0,1,200011)
910059	(21,0,8054604,0)*(1,0,5,200011)*(1,3,6,200014)*(14,0,5000,200067)
910060	(21,0,8054605,0)*(1,0,1,200011)
910061	(21,0,8051076,0)*(1,0,5,200011)*(1,3,1,200014)*(1,2,1,200013)*(7,300004,2,200054)
910062	(21,0,8051077,0)*(1,2,2,200013)
910063	(21,0,9009818,0)*(1,0,5,200011)*(1,3,1,200014)*(1,2,1,200013)*(7,300009,1,200054)
910064	(21,0,9009819,0)*(1,2,2,200013)
910065	(21,0,9009526,0)*(1,0,5,200011)
910066	(21,0,9009527,0)
910067	(21,0,9009946,0)*(1,0,5,200011)
910068	(21,0,9009947,0)
910069	(21,0,1010516,0)*(1,0,5,200011)
910070	(21,0,1010517,0)
910071	(21,0,9010005,0)*(1,0,5,200011)
910072	(21,0,9010006,0)*(1,0,2,200011)
910073	(21,0,9010011,0)*(1,0,5,200011)*(1,3,1,200014)*(1,2,1,200013)*(14,0,3000,200067)
910074	(21,0,9010012,0)*(1,0,1,200011)
910075	(21,0,9010015,0)*(1,0,5,200011)
910076	(21,0,9010016,0)
910077	(21,0,8011023,0)*(1,0,5,200011)
910078	(21,0,8011024,0)
910079	(21,0,9009639,0)*(1,0,5,200011)
910080	(21,0,9009639,0)
910081	(21,0,9009660,0)*(1,0,5,200011)
910082	(21,0,9009661,0)
910083	(21,0,9010105,0)*(1,0,5,200011)
910084	(21,0,9010106,0)
910085	(21,0,9009675,0)*(1,0,5,200011)
910086	(21,0,9009676,0)
910087	(21,0,9099999,0)*(1,0,5,200011)*(1,1,2,200012)*(1,3,5,200014)
910088	(21,0,9099998,0)*(1,0,1,200011)*(1,1,1,200012)
920001	(21,0,9009699,0)*(1,0,5,200011)
920002	(21,0,9009698,0)
920003	(21,0,9009717,0)*(1,0,5,200011)
920004	(21,0,9009718,0)
920005	(21,0,9009720,0)*(1,0,5,200011)
920006	(21,0,9009721,0)
920007	(21,0,9009735,0)*(1,0,5,200011)
920008	(21,0,9009736,0)
920009	(21,0,9009742,0)*(1,0,5,200011)
920010	(21,0,9009743,0)
920011	(21,0,9009747,0)*(1,0,5,200011)
920012	(21,0,9009748,0)
920013	(21,0,9009763,0)*(1,0,5,200011)
920014	(21,0,9009764,0)
920015	(21,0,8001084,0)*(1,0,5,200011)
920016	(21,0,8001085,0)
920017	(21,0,2034005,0)
920018	(21,0,2115006,0)*(1,0,5,200011)
920019	(21,0,2115006,0)
920020	(21,0,2115008,0)
920021	(21,0,2115008,0)
920022	(21,0,1000083,0)*(1,0,5,200011)
920023	(21,0,8000003,0)*(1,0,5,200011)*(1,3,5,200014)
920024	(21,0,8000003,0)*(1,0,2,200011)
920025	(21,0,9100005,0)*(1,0,5,200011)
920026	(21,0,9100006,0)
920027	(21,0,5014004,0)*(1,0,5,200011)
920028	(21,0,5014004,0)
920029	(21,0,4056004,0)*(1,0,5,200011)
920030	(21,0,9100015,0)*(1,0,3,200011)
920031	(21,0,9100015,0)*(1,0,2,200011)
920032	(21,0,9100017,0)*(1,0,1,200011)
920033	(21,0,9109715,0)*(1,0,5,200011)
920034	(21,0,9109711,0)
920035	(21,0,2032011,0)*(1,0,5,200011)*(1,3,1,200014)*(1,2,1,200013)*(7,300002,2,200054)
920036	(21,0,2032012,0)*(1,0,1,200011)*(1,1,2,200013)
920037	(21,0,9101011,0)*(1,0,5,200011)
920038	(21,0,9101012,0)
920039	(21,0,9101015,0)*(1,0,5,200011)
920040	(21,0,9101016,0)
920041	(21,0,9101048,0)*(1,0,5,200011)
920042	(21,0,9101049,0)
920043	(20,20400002,0,0)*(1,0,5,200011)
920044	(35,92,0,0)
920045	(20,22020002,0,0)*(1,0,5,200011)
920046	(20,22020004,0,0)*(1,0,5,200011)
920047	(20,22020005,0,0)*(1,0,5,200011)
920048	(20,22020020,0,0)*(1,0,5,200011)
920049	(20,22020023,0,0)*(1,0,5,200011)
920050	(20,22020025,0,0)*(1,0,5,200011)
920051	(1,0,1,200011)
920052	(1,0,1,200011)
920053	(20,21510004,0,0)*(1,0,5,200011)
920054	(20,30100002,0,0)*(1,0,5,200011)
920055	(20,30100004,0,0)*(1,0,5,200011)
920056	(20,10500004,0,0)*(1,0,5,200011)
920057	(20,20600002,0,0)*(1,0,5,200011)
920058	(20,20600005,0,0)*(1,0,5,200011)
920059	(20,21910002,0,0)*(1,0,5,200011)
920060	(4,0,5,200032)*(7,100101,5,200054)
920061	(7,100261,1,200054)
920062	(4,1,5,200033)*(7,100053,1,200054)*(7,100051,100,200054)
920063	(1,4,3,200015)*(14,0,500,200067)
920064	(1,4,-3,200057)*(14,0,500,200067)
920065	(4,2,5,200034)*(7,100102,1,200054)*(7,100105,10,200054)
920066	(20,10500005,0,0)
920067	(7,100607,1,200054)
920068	(7,100261,-1,200070)
920069	(4,3,5,200035)*(7,100107,5,200054)
920070	(5,1,5,200041)
920071	(7,990002,1,200054)
920072	(1,2,5,200013)
920073	(1,4,3,200015)
920074	(27,0,50,200089)
920075	(1,5,200,200097)
920076	(1,6,200,200098)
920077	(7,310014,1,200054)
920078	(1,2,5,200013)*(7,660001,1,200054)
920079	(1,2,-10,200055)*(7,660001,1,200054)*(1,4,3,200015)
920080	(20,10500006,0,0)
920081	(7,300009,2,200054)
920082	(7,600006,1,200054)
920083	(7,100201,-1,200070)*(7,100257,-1,200070)*(7,100258,-1,200070)
920084	(7,670002,1,200054)
920085	(7,100355,1,200054)*(7,200310,1,200054)*(1,1,2,200012)
920086	(7,920001,1,200054)
920087	(7,920002,1,200054)
920088	(7,920003,1,200054)
920089	(7,920004,1,200054)
920090	(20,10500008,0,0)
920091	(7,100012,5,200054)
920092	(14,0,5000,200067)
920093	(14,0,-500,200068)
920094	(14,0,-1000,200068)
920095	(14,0,-2000,200068)
920096	(14,0,2000,200067)
920097	(1,4,20,200015)
920098	(20,10500009,0,0)
920099	(7,100401,1,200054)*(4,8,5,200046)*(19,10805,0,200084)
920100	(14,0,600,200067)*(4,5,5,200037)
920101	(7,600104,1,200054)
920102	(7,600306,1,200054)
920103	(7,220382,1,200054)*(5,0,5,200040)
920104	(7,200202,1,200054)
920105	(5,7,5,200031)
920106	(7,200012,1,200054)*(5,5,5,200045)
920107	(20,10500011,0,0)
920108	(1,0,10,200011)*(1,3,30,200011)*(20,20610002,0,0)
920109	(1,0,5,200011)*(20,20610003,0,0)
920110	(31,0,53,0)
920111	(20,21910004,0,0)
920112	(20,21910006,0,0)
920113	(20,21910007,0,0)*(1,0,3,200011)
920114	(20,20810007,0,0)*(1,0,1,200011)
920115	(20,20810001,0,0)
920116	(20,20810008,0,0)*(1,0,1,200011)
920117	(20,20810002,0,0)
920118	(20,20810009,0,0)*(1,0,1,200011)
920119	(20,20810003,0,0)
920120	(20,20810010,0,0)*(1,0,1,200011)
920121	(20,20810004,0,0)
920122	(20,20810011,0,0)*(1,0,1,200011)
920123	(20,20810005,0,0)
920124	(20,20810012,0,0)*(1,0,1,200011)
920125	(20,20810006,0,0)
920126	(20,20810013,0,0)
920127	(20,20810014,0,0)
920128	(20,21010002,0,0)*(1,0,1,200011)
920129	(20,28010001,0,0)
920130	(20,190000010,0,0)
920131	(20,190000011,0,0)
920132	(6,100085,100,200005)*(6,100096,100,200005)
920133	(6,100085,5,200005)*(7,690010,1,200054)
920134	(20,190000013,0,0)*(1,0,1,200011)
920135	(31,0,101,0)*(41,M00192001,0,0)*(41,M00192026,0,0)
920136	(7,990036,1,200054)
920137	(7,990033,1,200054)
920138	(7,990033,1,200054)*(1,5,-300,0)
920139	(7,990035,1,200054)
920140	(7,220346,1,200054)
920141	(7,990034,1,200054)
920142	(20,190000014,0,0)
920143	(20,190000015,0,0)*(1,0,1,200011)
920144	(6,100056,10,200005)
920145	(20,190000016,0,0)
920146	(20,190000017,0,0)*(1,0,1,200011)
920147	(20,190000018,0,0)
920148	(20,190000019,0,0)
920149	(20,190000021,0,0)*(1,0,1,200011)
920150	(20,190000023,0,0)*(1,0,1,200011)
920151	(20,190000023,0,0)*(1,0,1,200011)
920152	(7,600204,1,200054)
920153	(20,20410001,0,0)
920154	(7,100418,1,200054)
920155	(20,20410002,0,0)
920156	(7,660013,1,200054)
920157	(20,20410003,0,0)
920158	(7,600307,1,200054)
920159	(20,20410004,0,0)
920160	(7,920015,1,200054)
920161	(20,20410005,0,0)
920162	(7,680012,1,200054)
920163	(20,20410006,0,0)
920164	(7,300015,3,200054)
920165	(20,20410007,0,0)
920166	(38,2,0,911135)*(31,0,172,0)
920167	(33,0,0,0)
920168	(20,21170002,0,0)*(1,0,1,200011)
920169	(20,22170002,0,0)*(1,0,1,200011)
920170	(1,0,1,200011)
920171	(20,21870001,0,0)
920172	(1,0,1,200011)
920173	(20,30100006,0,0)
920174	(1,0,3,200011)
920175	(20,22270002,0,0)*(1,0,2,200011)
920176	(20,20070002,0,0)
920177	(20,20400003,0,0)*(1,0,1,200011)
920178	(18,70001,0,200091)
920179	(18,70002,0,200091)
920180	(18,70003,0,200091)
920181	(18,70004,0,200091)
920182	(18,70005,0,200091)
920183	(18,70006,0,200091)
920184	(18,70007,0,200091)
920185	(18,70008,0,200091)
920186	(18,70009,0,200091)
920187	(18,70010,0,200091)
920188	(18,70011,0,200091)
920189	(18,70012,0,200091)
920190	(18,70013,0,200091)
920191	(18,70014,0,200091)*(18,72014,0,200091)
920192	(18,70015,0,200091)
920193	(18,70016,0,200091)
920194	(18,70017,0,200091)
920195	(18,70018,0,200091)
920196	(18,70019,0,200091)
920197	(18,70020,0,200091)
920198	(18,70021,0,200091)
920199	(20,22020033,0,0)
920200	(20,20347002,0,0)*(1,0,1,200011)
920201	(36,900004,0,0)
920202	(20,20341001,0,0)
920203	(20,190000024,0,0)
920204	(20,21500002,0,0)*(1,0,2,200011)*(5,2,10,200042)
920205	(20,21500003,0,0)*(18,50003,0,200091)
920206	(20,20341012,0,0)*(1,0,10,200011)*(1,3,50,200014)*(18,40002,0,200091)
920207	(20,20341013,0,0)*(1,0,5,200011)*(1,3,20,200014)
920208	(1,2,-30,200055)
920209	(1,3,-40,200056)
920210	(6,100021,-20,200064)*(1,0,2,200011)
920211	(6,100021,20,200005)
920212	(6,100021,10,200005)
920213	(6,100037,10,200005)
920214	(6,100075,10,200005)
920215	(6,100092,10,200005)
920216	(6,100098,10,200005)
920217	(6,100094,10,200005)
920218	(6,100043,10,200005)
920219	(6,100057,10,200005)
920220	(6,100060,10,200005)*(6,100078,-20,200064)
920221	(7,300001,3,200054)
920222	(7,100103,1,200054)*(1,2,5,200013)
920223	(7,990070,1,200054)*(1,2,5,200013)
920224	(7,920009,1,200054)
920225	(7,690019,1,200054)
920226	(7,220109,1,200054)
920227	(7,200327,1,200054)
920228	(5,4,10,200044)
920229	(7,920010,1,200054)
920230	(7,920011,1,200054)
920231	(7,600106,1,200054)*(1,3,20,200014)
920232	(7,990015,1,200054)
920233	(20,20008001,0,0)*(1,4,2,200015)
920234	(20,20008002,0,0)*(1,4,4,200015)
920235	(20,20008003,0,0)*(1,4,6,200015)
920236	(20,20008004,0,0)*(1,4,8,200015)
920237	(20,20008005,0,0)*(1,4,10,200015)
920238	(34,1001,0,0)
920239	(7,300007,3,200054)*(6,100058,30,200005)
920240	(20,130016003,0,0)
920241	(1,3,10,200014)
920242	(1,2,-10,200055)*(14,0,2000,200067)
920243	(18,21301,0,200091)*(18,21302,0,200091)
920244	(18,21302,0,200091)
920245	(18,21303,0,200091)
920246	(18,21304,0,200091)
920247	(18,21305,0,200091)*(20,130016003,0,0)
920248	(7,990047,1,200054)*(4,6,10,200038)
920249	(7,990109,1,200054)*(4,6,10,200038)
920250	(7,300007,3,200054)
920251	(7,100013,10,200054)*(6,100057,30,200005)
920252	(20,130016004,0,0)
920253	(6,100096,10,200005)
920254	(6,100096,10,200005)*(1,2,-10,200055)*(14,0,5000,200067)
920255	(6,100096,-20,200064)*(1,2,10,200013)*(1,3,10,200014)
920256	(6,100096,20,200005)*(7,310006,1,200054)*(7,300014,2,200054)
920257	(6,100043,30,200005)*(7,680005,1,200054)
920258	(6,100059,-30,200064)*(1,2,10,200013)
920259	(6,100059,30,200005)*(1,2,-10,200055)*(1,3,-20,200056)*(7,200328,-1,200070)*(7,680009,1,20054)
920260	(6,100059,-30,200064)*(1,2,-10,200055)*(1,3,-20,200056)
920261	(1,0,2,200011)*(7,990110,1,200054)*(39,2,0,0)
920262	(1,0,5,200011)*(7,990110,3,200054)*(39,2,0,0)
920263	(7,680010,1,200054)
920264	(18,21306,0,200091)
920265	(18,21308,0,200091)
920266	(18,21310,0,200091)
920267	(20,130156001,0,0)
920268	(7,200014,1,200054)
920269	(18,21311,0,200091)*(18,21312,0,200091)
920270	(18,21312,0,200091)
920271	(1,2,10,200013)*(18,21313,0,200091)
920272	(1,2,10,200013)*(6,100057,10,200005)*(18,21314,0,200091)
920273	(6,100057,-50,200064)
920274	(20,21300028,0,0)*(1,0,5,200011)
920275	(31,0,72,0)
920276	(1,3,20,200014)*(6,100057,10,200005)*(18,21315,0,200091)*(6,100066,30,200005)
920277	(1,3,20,200014)*(1,0,5,200011)
920278	(1,3,20,200014)*(20,28010004,0,0)*(1,0,5,200011)*(18,21316,0,200091)
920279	(20,21900010,0,0)
920280	(20,21900012,0,0)*(1,0,5,200011)*(1,2,10,200013)*(18,30004,0,200091)
920281	(35,32,0,0)
920282	(7,920013,1,200054)*(6,100082,30,200005)
920283	(18,30002,0,200091)
920284	(18,30003,0,200091)
920285	(18,30005,0,200091)
920286	(18,30006,0,200091)
920287	(18,20010,0,200091)
920288	(35,6,0,0)
920289	(35,2,0,0)
920290	(21,0,8018009,0)*(1,0,1,200011)
920291	(21,0,8018010,0)
920292	(35,97,0,0)
920293	(7,300015,1,200054)*(7,310006,1,200054)
920294	(40,1,10029903,210019)
920295	(40,1,10009204,210019)
920296	(40,1,10009103,210019)
920297	(40,1,10007203,210019)
920298	(40,1,10008503,210019)
920299	(40,1,10009403,210019)
920300	(40,1,10003604,210019)
920301	(40,1,10004304,210019)
920302	(40,1,10009803,210019)
920303	(40,1,10029703,210019)
920304	(40,1,10007803,210019)
920305	(40,1,10005703,210019)
920306	(40,1,10002104,210019)
920307	(40,1,10005502,210019)
920308	(40,1,10003503,210019)
920309	(40,1,10006103,210019)
920310	(40,1,10005803,210019)
920311	(40,1,10005603,210019)
920312	(40,1,10005403,210019)
920313	(40,1,10006003,210019)
920314	(40,1,10005902,210019)
920315	(40,1,10008202,210019)
920316	(40,1,10009603,210019)
920317	(40,1,10008103,210019)
920318	(40,1,10008903,210019)
920319	(40,1,10004802,210019)
920320	(40,1,10010903,210019)
920321	(40,1,10011003,210019)
920322	(1,0,2,200011)
920323	(20,22020034,0,0)
920324	(40,1,10041903,210019)
920325	(1,0,1,200011)
920326	(7,100266,5,200054)*(7,300007,2,200054)
920327	(18,60019,0,200091)*(18,60020,0,200091)*(18,60021,0,200091)
920328	(20,21360003,0,0)*(1,0,5,200011)*(7,990112,1,200054)
920329	(18,60022,0,200091)
920330	(7,990113,1,200054)
920331	(20,21360009,0,0)*(7,990113,-1,200070)
920332	(1,0,5,200011)*(7,990112,1,200054)
920333	(20,21360011,0,0)*(1,3,30,200014)*(18,60023,0,200091)
920334	(20,21360012,0,0)
920335	(7,680004,1,200054)
920336	(18,80001,0,200091)
920337	(18,80002,0,200091)*(18,80003,0,200091)*(18,80004,0,200091)*(18,80005,0,200091)
920338	(18,80006,0,200091)
920339	(18,80007,0,200091)
920340	(18,80008,0,200091)
920341	(18,80018,0,200091)
920342	(20,29980003,0,0)
920343	(7,990118,1,200054)
920344	(20,29980005,0,0)
920345	(18,80009,0,200091)
920346	(18,80010,0,200091)
920347	(7,100205,2,200054)
920348	(18,80012,0,200091)
920349	(18,80013,0,200091)
920350	(18,80014,0,200091)
920351	(18,80015,0,200091)
920352	(7,990115,1,200054)
920353	(7,990119,1,200054)
920354	(7,990119,1,200054)*(14,0,50000,200067)*(1,3,30,200014)
920355	(20,29980008,0,0)*(1,0,5,200011)
920356	(35,93,0,0)
920357	(18,80016,0,200091)
920358	(7,990116,1,200054)
920359	(20,29980009,0,0)*(18,80017,0,200091)
920360	(14,0,10000,200067)
920361	(7,990121,1,200054)
920362	(20,29980010,0,0)
920363	(20,29980011,0,0)
920364	(20,29980012,0,0)
920365	(7,990120,1,200054)
920366	(20,29980013,0,0)
920367	(20,29980014,0,0)
920368	(21,0,6002123,0)*(1,0,1,200011)*(7,100265,2,200054)
920369	(21,0,6002124,0)
920370	(7,990117,1,200054)*(7,990014,1,200054)
920371	(20,29980015,0,0)
920372	(7,990114,1,200054)
920373	(7,990122,1,200054)
920374	(7,990123,1,200054)
920375	(1,2,-20,200055)*(7,990122,1,200054)
920376	(18,80019,0,200091)
920377	(20,29980021,0,0)
920378	(7,990123,1,200054)*(1,2,-20,200055)
920379	(20,29980027,0,0)
920380	(35,93,0,0)
920381	(18,80020,0,200091)
920382	(18,80021,0,200091)
920383	(18,80022,0,200091)
920384	(1,3,2,210027)
920385	(20,29980032,0,0)
920386	(1,3,5,210028)
920387	(14,0,-9999999,210029)
920388	(20,29980031,0,0)*(1,0,5,200011)*(7,100265,2,200054)
920389	(20,29980031,0,0)
920390	(1,0,5,200011)*(7,990124,1,200054)
920391	(18,80023,0,200091)
920392	(20,29980036,0,0)
920393	(18,80024,0,200091)
920394	(18,80025,0,200091)
920395	(1,0,3,200011)*(20,29920039,0,0)
920396	(7,990125,1,200054)
920397	(40,1,10003303,210019)
920398	(18,80026,0,200091)
920399	(1,0,5,200011)*(20,29980043,0,0)
920400	(1,0,5,200011)*(20,29980045,0,0)
920401	(1,0,30,200011)*(20,29980047,0,0)
920402	(20,29980048,0,0)
920403	(20,29980049,0,0)
920404	(7,300013,5,200054)
